sector,week_end_date,weekly_avg_close,revenue_ttm,eps_ttm,fcf_ttm,net_income_ttm,rev_qoq,rev_yoy,eps_qoq,eps_yoy,market_cap,pe_ttm,ps_ttm,fcf_yield_ttm,ret_1w,ret_4w,ret_12w,sma_4w,sma_12w,sma_24w,price_vs_sma_4w,price_vs_sma_12w,price_vs_sma_24w,Gross Margin %,Operating Income %,Net Profit %
Healthcare,2025-04-18,103,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,29546229261.3983,23.612,4.5247,0.1122,0.0083,-0.1493,-0.3197,108.8351,125.0779,131.0019,-0.0541,-0.1769,-0.2141,0.5348,0.232,0.1892
Healthcare,2025-04-25,104,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,29803897660.8276,23.818,4.5641,0.1112,0.0087,-0.1264,-0.3046,105.0805,121.288,129.5908,-0.0117,-0.1438,-0.1987,0.5348,0.232,0.1892
Healthcare,2025-05-02,107,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,30484596473.6938,26.3457,4.598,0.1027,0.03,-0.0401,-0.2693,103.964,118.0027,128.5993,0.0289,-0.0936,-0.1682,0.5282,0.1709,0.1289
Healthcare,2025-05-09,107,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,30469837234.4971,26.3329,4.5958,0.1027,-0.0005,0.0472,-0.2256,105.1675,115.4066,127.705,0.0166,-0.0736,-0.1628,0.5282,0.1709,0.1289
Healthcare,2025-05-16,113,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,32280680076.5991,27.8979,4.8689,0.097,0.0594,0.1002,-0.1627,107.7468,113.572,126.7933,0.0512,-0.0027,-0.1067,0.5282,0.1709,0.1289
Healthcare,2025-05-23,110,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,31450758476.2573,27.1807,4.7437,0.0995,-0.0257,0.0627,-0.1574,109.3736,111.8541,125.6256,0.009,-0.0134,-0.1216,0.5282,0.1709,0.1289
Healthcare,2025-05-30,111,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,31742252798.0804,27.4326,4.7877,0.0986,0.0093,0.0413,-0.1093,110.4768,110.7148,124.4218,0.0081,0.006,-0.1048,0.5282,0.1709,0.1289
Healthcare,2025-06-06,113,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,32271030189.5142,27.8896,4.8674,0.097,0.0167,0.0591,-0.0525,112.0568,110.1916,123.5613,0.0105,0.0276,-0.0836,0.5282,0.1709,0.1289
Healthcare,2025-06-13,118,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,33660667854.3091,29.0905,5.077,0.093,0.0431,0.0427,-0.024,113.2673,109.9497,122.8813,0.0427,0.0742,-0.0388,0.5282,0.1709,0.1289
Healthcare,2025-06-20,116,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,33079805316.925,28.5885,4.9894,0.0946,-0.0173,0.0518,-0.0235,114.6963,109.7168,122.152,0.012,0.0579,-0.0498,0.5282,0.1709,0.1289
